ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,827538
2,9.4,这个杀手不太冷,793926
3,9.5,霸王别姬,591339
4,9.4,阿甘正传,680753
5,9.5,美丽人生,395360
6,9.2,千与千寻,632395
7,9.4,辛德勒的名单,365831
8,9.2,泰坦尼克号,626349
9,9.2,盗梦空间,734037
10,9.3,机器人总动员,482096
11,9.2,海上钢琴师,578871
12,9.1,三傻大闹宝莱坞,643864
13,9.2,忠犬八公的故事,432023
14,9.2,放牛班的春天,433565
15,9.2,大话西游之大圣娶亲,466760
16,9.2,教父,330609
17,9.1,龙猫,402071
18,9.0,楚门的世界,430015
19,9.2,乱世佳人,261880
20,9.1,天堂电影院,299370
21,8.9,当幸福来敲门,519141
22,9.1,触不可及,351586
23,9.0,搏击俱乐部,392304
24,9.3,十二怒汉,163498
25,9.0,无间道,380396
ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,827538
2,9.4,这个杀手不太冷,793926
3,9.5,霸王别姬,591339
4,9.4,阿甘正传,680753
5,9.5,美丽人生,395360
6,9.2,千与千寻,632395
7,9.4,辛德勒的名单,365831
8,9.2,泰坦尼克号,626349
9,9.2,盗梦空间,734037
10,9.3,机器人总动员,482096
11,9.2,海上钢琴师,578871
12,9.1,三傻大闹宝莱坞,643864
13,9.2,忠犬八公的故事,432023
14,9.2,放牛班的春天,433565
15,9.2,大话西游之大圣娶亲,466760
16,9.2,教父,330609
17,9.1,龙猫,402071
18,9.0,楚门的世界,430015
19,9.2,乱世佳人,261880
20,9.1,天堂电影院,299370
21,8.9,当幸福来敲门,519141
22,9.1,触不可及,351586
23,9.0,搏击俱乐部,392304
24,9.3,十二怒汉,163498
25,9.0,无间道,380396
26,9.2,熔炉,231985
27,9.1,指环王3：王者无敌,275263
28,8.9,怦然心动,518299
29,9.0,天空之城,318822
30,8.9,罗马假日,371821
31,9.0,少年派的奇幻漂流,559137
32,8.9,大话西游之月光宝盒,378996
33,9.1,鬼子来了,216678
34,9.1,星际穿越,459628
35,9.0,蝙蝠侠：黑暗骑士,302182
36,9.0,两杆大烟枪,264086
37,8.9,飞屋环游记,480862
38,9.0,活着,251279
39,9.1,窃听风暴,211653
40,9.0,飞越疯人院,267631
41,9.3,海豚湾,176315
42,8.9,闻香识女人,307822
43,8.8,V字仇杀队,394557
